Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S1855,Mouse89,WT,Spleen,Foxp3,25.26,1,2026-03-28,False
S0953 ,Mouse46,KO,Spleen,Foxp3,25.73,2,2026-03-21,False
S0808,Mouse39,KO,Spleen,Cd4,19.83,1,2026-04-25,False
S0259,Mouse13,WT,Thymus,Foxp3,,1,2026-03-06,False
s0625,Mouse30,HET,Spleen,Tnfa,22.84,1,2026-03-10,False
S0827 ,Mouse40,WT,Spleen,Foxp3,25.62,2,2026-03-11,False
S0235,Mouse12,WT,Thymus,Ifng,22.3,1,2026-04-03,False
S0136,Mouse7,WT,Lymph Node,Cd4,19.47,1,2026-10-04,False
S_617,Mouse30,HET,Spleen,Foxp3,25.39,2,2026-10-03,False
S1856,Mouse89,WT,Spleen,Foxp3,25.64,2,2026-03-28,False
S0837 ,Mouse40,WT,Spleen,Tnfa,22.67,3,2026-11-03,False
S0843,Mouse41,KO,Spleen,Il2,27.13,3,2026-03-27,False
S_960,Mouse46,KO,Spleen,Cd8a,20.97,3,2026-03-21,False
S0593,Mouse29,WT,Spleen,Ifng,22.39,2,2026-04-28,False
S1315,Mouse63,KO,Spleen,Cd8a,19.47,1,2026-12-04,False
S1292,Mouse62,HET,Lymph Node,Cd4,20.29,2,2026-03-04,False
S_344,Mouse17,WT,Spleen,Foxp3,29.47,2,2026-10-03,False
S1566,Mouse75,HET,Spleen,Cd4,19.73,3,2026-03-10,False
S1496,Mouse72,KO,Thymus,Ifng,22.35,2,2026-03-28,False
S0294,Mouse14,HET,Thymus,Gapdh,18.07,3,2026-03-31,False
S_365,Mouse18,KO,Spleen,Foxp3,25.13,2,2026-04-19,False
S0179,Mouse9,KO,Spleen,Cd4,19.93,2,2026-04-18,False
S0660,Mouse32,WT,Lymph Node,Foxp3,27.05,3,2026-05-03,False
S0997,Mouse48,WT,Lymph Node,Cd4,21.78,1,2026-04-05,False
S0015,Mouse1,KO,Spleen,Cd8a,21.49,3,2026-03-15,False
S1111,Mouse53,WT,Thymus,Gapdh,18.77,1,2026-03-30,False
S1395 ,Mouse67,KO,Lymph Node,Foxp3,29.83,3,2026-06-04,False
S0166,Mouse8,WT,Thymus,Gapdh,17.54,1,2026-04-08,False
S1782,Mouse85,KO,Thymus,Tnfa,21.7,3,2026-03-04,False
S1360,Mouse65,WT,Spleen,Tnfa,23.04,1,2026-03-14,False
S_60,Mouse3,HET,Thymus,Tnfa,22.75,3,2026-03-04,False
S0710,Mouse34,HET,Spleen,Tnfa,,2,2026-08-04,True
S0677,Mouse33,HET,Spleen,Ifng,22.36,2,2026-03-17,False
S1379,Mouse66,KO,Thymus,Cd8a,21.36,2,2026-01-04,False
S0781,Mouse38,KO,Thymus,Ifng,22.06,1,2026-04-18,False
S0425,Mouse21,WT,Thymus,Ifng,28.64,2,2026-10-03,False
S0293,Mouse14,HET,Thymus,Gapdh,17.99,2,2026-03-31,False
S1066,Mouse51,HET,Spleen,Tnfa,23.27,1,2026-04-29,False
s1699,Mouse81,WT,Spleen,Gapdh,17.87,1,2026-03-20,False
S0330,Mouse16,HET,Spleen,Cd8a,21.15,3,2026-05-04,False
S0430,Mouse21,WT,Thymus,Cd4,19.44,1,2026-10-03,False
S1013,Mouse49,HET,Thymus,Ifng,21.94,2,2026-04-17,False
S0080,Mouse4,HET,Lymph Node,Tnfa,22.69,2,2026-04-02,False
S1053,Mouse51,HET,Spleen,Il2,24.73,3,2026-04-29,False
S_938,Mouse45,KO,Thymus,Cd8a,21.8,2,2026-03-15,False
S_835,Mouse40,WT,Spleen,Tnfa,22.5,1,2026-03-11,False
S0750,Mouse36,KO,Spleen,Cd8a,20.66,3,2026-03-21,False
S0891,Mouse43,WT,Spleen,Foxp3,26.15,3,2026-04-27,False
S0255,Mouse13,WT,Thymus,Il2,22.8,3,2026-06-03,False
S1645,Mouse79,WT,Thymus,Foxp3,27.08,1,2026-03-23,False
S1483,Mouse71,KO,Spleen,Cd8a,29.82,1,2026-09-03,False
S_1854,Mouse89,WT,Spleen,Ifng,22.97,3,2026-03-28,False
S1408,Mouse68,HET,Thymus,Il2,,1,2026-04-20,False
S1338,Mouse64,WT,Lymph Node,Cd8a,20.98,3,2026-07-04,False
S1109,Mouse53,WT,Thymus,Tnfa,23.43,2,2026-03-30,False
S0137,Mouse7,WT,Lymph Node,Cd4,19.79,2,2026-04-10,False
S1136,Mouse55,KO,Spleen,Il2,22.91,2,2026-03-29,False
s0853,Mouse41,KO,Spleen,Cd8a,20.98,1,2026-03-27,False
S1203,Mouse58,HET,Thymus,Ifng,21.52,3,2026-04-19,False
S0724,Mouse35,KO,Lymph Node,Cd4,19.56,1,2026-03-30,False
s0860,Mouse41,KO,Spleen,Gapdh,17.68,2,2026-03-27,False
S0970,Mouse47,KO,Spleen,Ifng,21.59,1,2026-04-18,False
S0497,Mouse24,WT,Thymus,Cd8a,20.65,2,2026-04-29,False
S0951,Mouse46,KO,Spleen,Ifng,21.73,3,2026-03-21,False
S0806,Mouse39,KO,Spleen,Foxp3,25.69,2,2026-04-25,False
S0130,Mouse7,WT,Lymph Node,Ifng,21.27,1,2026-04-10,False
S0338,Mouse17,WT,Spleen,Il2,28.32,2,2026-10-03,False
S1889,Mouse90,KO,Thymus,Gapdh,17.53,2,2026-05-03,False
S0609,Mouse29,WT,Spleen,Gapdh,17.41,3,2026-04-28,False
S1149,Mouse55,KO,Spleen,Cd8a,21.58,3,2026-03-29,False
S0196,Mouse10,WT,Spleen,Foxp3,26.63,1,2026-10-04,False
S1251,Mouse60,HET,Thymus,Cd4,20.42,3,2026-03-01,False
S1293,Mouse62,HET,Lymph Node,Cd4,20.04,3,2026-04-03,False
S1871,Mouse90,KO,Thymus,Il2,27.84,2,2026-05-03,False
S0910,Mouse44,KO,Spleen,Foxp3,27.13,1,2026-03-11,False
S0585,Mouse28,KO,Spleen,Tnfa,23.52,3,2026-03-28,False
S_104,Mouse5,KO,Lymph Node,Gapdh,18.1,2,2026-09-04,False
S1755,Mouse84,KO,Spleen,Cd4,20.03,3,2026-02-04,False
S1771,Mouse85,KO,Thymus,Foxp3,38.33,1,2026-03-04,False
S0720,Mouse35,KO,Lymph Node,Ifng,21.23,3,2026-03-30,False
S0885,Mouse43,WT,Spleen,Il2,23.18,3,2026-04-27,False
S0777,Mouse37,HET,Spleen,Gapdh,,3,2026-03-03,True
S_850,Mouse41,KO,Spleen,Cd4,19.52,1,2026-03-27,False
S0895,Mouse43,WT,Spleen,Cd8a,21.36,1,2026-04-27,False
S0228,Mouse11,KO,Lymph Node,Tnfa,23.5,3,2026-04-17,False
S1784,Mouse85,KO,Thymus,Gapdh,18.65,2,2026-04-03,False
S_1326,Mouse64,WT,Lymph Node,Il2,23.9,3,2026-04-07,False
S1300,Mouse62,HET,Lymph Node,Gapdh,18.73,1,2026-04-03,False
S0127,Mouse7,WT,Lymph Node,Il2,24.01,1,2026-10-04,False
S0406,Mouse20,WT,Spleen,Foxp3,26.58,1,2026-03-15,False
S0776,Mouse37,HET,Spleen,Gapdh,18.41,2,2026-03-03,False
s0822,Mouse40,WT,Spleen,Il2,24.23,3,2026-03-11,False
S0712,Mouse34,HET,Spleen,Gapdh,18.43,1,2026-04-08,False
S1792,Mouse86,WT,Spleen,Foxp3,26.92,1,2026-03-18,False
S1061,Mouse51,HET,Spleen,Cd4,20.03,2,2026-04-29,False
S1164,Mouse56,WT,Thymus,Foxp3,26.26,3,2026-04-04,False
S0304,Mouse15,WT,Thymus,Cd4,20.01,1,2026-03-03,False
S0268,Mouse13,WT,Thymus,Tnfa,22.77,1,2026-06-03,False
S0546,Mouse26,WT,Lymph Node,Gapdh,17.8,3,2026-05-04,False
S0213,Mouse11,KO,Lymph Node,Il2,,3,2026-04-17,True
S0897,Mouse43,WT,Spleen,Cd8a,20.73,3,2026-04-27,False
S1493,Mouse72,KO,Thymus,Il2,24.29,2,2026-03-28,False
S1223,Mouse59,WT,Thymus,Ifng,,2,2026-03-24,True
S0917 ,Mouse44,KO,Spleen,Cd8a,21.67,2,2026-11-03,False
S0676,Mouse33,HET,Spleen,Ifng,,1,2026-03-17,True
S1290,Mouse62,HET,Lymph Node,Foxp3,26.32,3,2026-04-03,False
S0815,Mouse39,KO,Spleen,Tnfa,23.93,2,2026-04-25,False
S1266,Mouse61,KO,Spleen,Ifng,21.83,3,2026-03-11,False
S0343,Mouse17,WT,Spleen,Foxp3,29.09,1,2026-10-03,False
S0550,Mouse27,WT,Spleen,Ifng,21.4,1,2026-04-14,False
S1411,Mouse68,HET,Thymus,Ifng,22.5,1,2026-04-20,False
S1215,Mouse58,HET,Thymus,Tnfa,23.02,3,2026-04-19,False
S0967,Mouse47,KO,Spleen,Il2,27.63,1,2026-04-18,False
S1231,Mouse59,WT,Thymus,Cd8a,21.32,1,2026-03-24,False
s0296,Mouse15,WT,Thymus,Il2,23.65,2,2026-03-03,False
S0696,Mouse34,HET,Spleen,Il2,27.74,3,2026-04-08,False
S1453,Mouse70,HET,Lymph Node,Ifng,21.53,1,2026-03-26,False
S0074,Mouse4,HET,Lymph Node,Cd4,19.82,2,2026-02-04,False
S0606,Mouse29,WT,Spleen,Tnfa,23.81,3,2026-04-28,False
S0105 ,Mouse5,KO,Lymph Node,Gapdh,18.15,3,2026-09-04,False
S0646,Mouse31,HET,Spleen,Tnfa,22.67,1,2026-06-03,False
S1405,Mouse67,KO,Lymph Node,Gapdh,18.13,1,2026-06-04,False
S1859,Mouse89,WT,Spleen,Cd4,19.51,2,2026-03-28,False
S1041,Mouse50,HET,Thymus,Cd4,19.07,3,2026-03-15,False
S0440,Mouse21,WT,Thymus,Gapdh,17.38,2,2026-03-10,False
S_1020,Mouse49,HET,Thymus,Cd4,19.25,3,2026-04-17,False
S_92,Mouse5,KO,Lymph Node,Foxp3,28.62,2,2026-09-04,False
s1113,Mouse53,WT,Thymus,Gapdh,18.07,3,2026-03-30,False
S1666,Mouse80,WT,Spleen,Foxp3,26.74,1,2026-03-24,False
S0909 ,Mouse44,KO,Spleen,Ifng,21.67,3,2026-03-11,False
S_1475,Mouse71,KO,Spleen,Ifng,23.24,2,2026-03-09,False
S0239,Mouse12,WT,Thymus,Foxp3,26.19,2,2026-03-04,False
S1617,Mouse77,KO,Lymph Node,Gapdh,17.84,3,2026-03-14,False
S0943,Mouse45,KO,Thymus,Gapdh,17.59,1,2026-03-15,False
S1271 ,Mouse61,KO,Spleen,Cd4,19.9,2,2026-11-03,False
S0939,Mouse45,KO,Thymus,Cd8a,21.12,3,2026-03-15,False
S1182,Mouse57,WT,Thymus,Ifng,22.54,3,2026-04-13,False
S1504,Mouse72,KO,Thymus,Cd8a,,1,2026-03-28,True
S0006,Mouse1,KO,Spleen,Ifng,21.86,3,2026-03-15,False
S1723,Mouse83,KO,Thymus,Il2,27.94,1,2026-03-23,False
S0966,Mouse46,KO,Spleen,Gapdh,18.02,3,2026-03-21,False
S0019,Mouse1,KO,Spleen,Gapdh,17.58,1,2026-03-15,False
S1431,Mouse69,WT,Lymph Node,Il2,22.86,3,2026-02-04,False
S_122,Mouse6,HET,Thymus,Tnfa,24.31,2,2026-03-22,False
S0662,Mouse32,WT,Lymph Node,Cd4,20.76,2,2026-05-03,False
S1601,Mouse77,KO,Lymph Node,Ifng,21.74,2,2026-03-14,False
S0275,Mouse14,HET,Thymus,Il2,23.91,2,2026-03-31,False
S0434,Mouse21,WT,Thymus,Cd8a,21.57,2,2026-03-10,False
S0812,Mouse39,KO,Spleen,Cd8a,20.54,2,2026-04-25,False
S1301 ,Mouse62,HET,Lymph Node,Gapdh,17.87,2,2026-04-03,False
s1336,Mouse64,WT,Lymph Node,Cd8a,22.24,1,2026-04-07,False
S1772,Mouse85,KO,Thymus,Foxp3,29.05,2,2026-03-04,False
S1793,Mouse86,WT,Spleen,Foxp3,26.55,2,2026-03-18,False
S1571,Mouse75,HET,Spleen,Tnfa,23.23,2,2026-10-03,False
S0182,Mouse9,KO,Spleen,Cd8a,21.47,2,2026-04-18,False
S0185,Mouse9,KO,Spleen,Tnfa,22.44,2,2026-04-18,False
S0407,Mouse20,WT,Spleen,Foxp3,26.39,2,2026-03-15,False
S0866,Mouse42,KO,Thymus,Ifng,21.78,2,2026-12-04,False
S_521,Mouse25,KO,Thymus,Tnfa,23.6,2,2026-03-21,False
S1004,Mouse48,WT,Lymph Node,Tnfa,23.13,2,2026-04-05,False
S0381,Mouse19,KO,Lymph Node,Il2,27.43,3,2026-11-03,False
S1435 ,Mouse69,WT,Lymph Node,Foxp3,26.2,1,2026-02-04,False
S_1394,Mouse67,KO,Lymph Node,Foxp3,29.72,2,2026-06-04,False
S1425 ,Mouse68,HET,Thymus,Tnfa,23.02,3,2026-04-20,False
S0428,Mouse21,WT,Thymus,Foxp3,26.4,2,2026-03-10,False
S0079,Mouse4,HET,Lymph Node,Tnfa,23.89,1,2026-04-02,False
S1598,Mouse77,KO,Lymph Node,Il2,29.42,2,2026-03-14,False
S1010 ,Mouse49,HET,Thymus,Il2,23.46,2,2026-04-17,False
S1867,Mouse89,WT,Spleen,Gapdh,17.95,1,2026-03-28,False
S0608,Mouse29,WT,Spleen,Gapdh,17.69,2,2026-04-28,False
S1693,Mouse81,WT,Spleen,Cd8a,21.08,1,2026-03-20,False
S1886,Mouse90,KO,Thymus,Tnfa,23.3,2,2026-03-05,False
S1730,Mouse83,KO,Thymus,Foxp3,30.2,2,2026-03-23,False
S1058,Mouse51,HET,Spleen,Foxp3,26.23,2,2026-04-29,False
S1441 ,Mouse69,WT,Lymph Node,Cd8a,21.5,1,2026-04-02,False
S_1515,Mouse73,WT,Lymph Node,Il2,23.78,3,2026-04-14,False
S1586 ,Mouse76,KO,Thymus,Cd4,19.52,2,2026-03-17,False
S1092,Mouse52,KO,Spleen,Gapdh,18.27,3,2026-04-17,False
S1561,Mouse75,HET,Spleen,Foxp3,,1,2026-10-03,False
s1102,Mouse53,WT,Thymus,Cd4,20.86,1,2026-03-30,False
S1130,Mouse54,KO,Thymus,Tnfa,23.68,2,2026-04-28,False
S1236,Mouse59,WT,Thymus,Tnfa,22.46,3,2026-03-24,False
S1676,Mouse80,WT,Spleen,Tnfa,23.47,2,2026-03-24,False
S0959,Mouse46,KO,Spleen,Cd8a,20.42,2,2026-03-21,False
S0560,Mouse27,WT,Spleen,Cd8a,21.46,2,2026-04-14,False
S0847,Mouse41,KO,Spleen,Foxp3,29.9,1,2026-03-27,False
S0691,Mouse33,HET,Spleen,Gapdh,16.75,1,2026-03-17,False
S1520,Mouse73,WT,Lymph Node,Foxp3,25.97,2,2026-04-14,False
S1836,Mouse88,KO,Thymus,Foxp3,25.58,3,2026-01-04,False
S1803,Mouse86,WT,Spleen,Tnfa,23.91,3,2026-03-18,False
S0437,Mouse21,WT,Thymus,Tnfa,22.68,2,2026-10-03,False
s0491,Mouse24,WT,Thymus,Foxp3,26.03,2,2026-04-29,False
S1745,Mouse84,KO,Spleen,Il2,24.98,2,2026-04-02,False
S1630,Mouse78,WT,Spleen,Cd8a,21.0,1,2026-04-21,False
S1388,Mouse67,KO,Lymph Node,Il2,27.52,2,2026-06-04,False
S0070,Mouse4,HET,Lymph Node,Foxp3,26.94,1,2026-02-04,False
S1573,Mouse75,HET,Spleen,Gapdh,17.95,1,2026-03-10,False
S_809,Mouse39,KO,Spleen,Cd4,19.19,2,2026-04-25,False
S1185,Mouse57,WT,Thymus,Foxp3,25.6,3,2026-04-13,False
S0012,Mouse1,KO,Spleen,Cd4,19.45,3,2026-03-15,False
S0145 ,Mouse7,WT,Lymph Node,Gapdh,17.14,1,2026-04-10,False
S0918,Mouse44,KO,Spleen,Cd8a,28.15,3,2026-11-03,False
S1542,Mouse74,WT,Spleen,Foxp3,29.49,3,2026-04-27,False
S1452,Mouse70,HET,Lymph Node,Il2,24.01,3,2026-03-26,False
S_640,Mouse31,HET,Spleen,Cd4,19.99,1,2026-03-06,False
S0177,Mouse9,KO,Spleen,Foxp3,26.03,3,2026-04-18,False
S0995,Mouse48,WT,Lymph Node,Foxp3,26.37,2,2026-04-05,False
S0441,Mouse21,WT,Thymus,Gapdh,17.67,3,2026-03-10,False
S0522,Mouse25,KO,Thymus,Tnfa,22.65,3,2026-03-21,False
S1875,Mouse90,KO,Thymus,Ifng,22.7,3,2026-03-05,False
S1840 ,Mouse88,KO,Thymus,Cd8a,21.68,1,2026-01-04,False
S_1005,Mouse48,WT,Lymph Node,Tnfa,23.65,3,2026-04-05,False
S1256,Mouse60,HET,Thymus,Tnfa,23.3,2,2026-03-01,False
S1235,Mouse59,WT,Thymus,Tnfa,22.93,2,2026-03-24,False
S0144 ,Mouse7,WT,Lymph Node,Tnfa,22.88,3,2026-04-10,False
S0754,Mouse36,KO,Spleen,Gapdh,17.06,1,2026-03-21,False
S0520 ,Mouse25,KO,Thymus,Tnfa,22.77,1,2026-03-21,False
S_1323,Mouse63,KO,Spleen,Gapdh,18.53,3,2026-04-12,False
S0823,Mouse40,WT,Spleen,Ifng,22.1,1,2026-03-11,False
S0429,Mouse21,WT,Thymus,Foxp3,26.22,3,2026-10-03,False
S0613,Mouse30,HET,Spleen,Ifng,20.98,1,2026-10-03,False
S1506,Mouse72,KO,Thymus,Cd8a,21.21,3,2026-03-28,False
S1033,Mouse50,HET,Thymus,Ifng,22.69,1,2026-03-15,False
S0157,Mouse8,WT,Thymus,Cd4,19.55,1,2026-04-08,False
S0540,Mouse26,WT,Lymph Node,Cd8a,20.74,3,2026-04-05,False
S1531,Mouse73,WT,Lymph Node,Gapdh,18.21,1,2026-04-14,False
S1461,Mouse70,HET,Lymph Node,Cd4,21.04,3,2026-03-26,False
S1291,Mouse62,HET,Lymph Node,Cd4,19.96,1,2026-04-03,False
S0462,Mouse22,WT,Spleen,Gapdh,18.67,3,2026-03-03,False
S0577,Mouse28,KO,Spleen,Cd4,20.62,1,2026-03-28,False
S1363,Mouse65,WT,Spleen,Gapdh,17.86,1,2026-03-14,False
S0256,Mouse13,WT,Thymus,Ifng,21.22,1,2026-03-06,False
S0980,Mouse47,KO,Spleen,Cd8a,20.61,2,2026-04-18,False
s1186,Mouse57,WT,Thymus,Cd4,20.17,1,2026-04-13,False
S1007,Mouse48,WT,Lymph Node,Gapdh,18.56,2,2026-05-04,False
S1522,Mouse73,WT,Lymph Node,Cd4,19.77,1,2026-04-14,False
S0561,Mouse27,WT,Spleen,Cd8a,20.11,3,2026-04-14,False
S0209,Mouse10,WT,Spleen,Gapdh,17.54,2,2026-10-04,False
S0911,Mouse44,KO,Spleen,Foxp3,25.13,2,2026-11-03,False
S1312 ,Mouse63,KO,Spleen,Cd4,20.71,1,2026-04-12,False
s0002,Mouse1,KO,Spleen,Il2,23.92,2,2026-03-15,False
S1366 ,Mouse66,KO,Thymus,Il2,27.23,1,2026-04-01,False
S0270,Mouse13,WT,Thymus,Tnfa,23.4,3,2026-06-03,False
S0266,Mouse13,WT,Thymus,Cd8a,20.64,2,2026-06-03,False
S0915,Mouse44,KO,Spleen,Cd4,24.8,3,2026-11-03,False
S_231,Mouse11,KO,Lymph Node,Gapdh,,3,2026-04-17,True
S_1870,Mouse90,KO,Thymus,Il2,28.46,1,2026-03-05,False
S1120,Mouse54,KO,Thymus,Foxp3,29.32,1,2026-04-28,False
S1865,Mouse89,WT,Spleen,Tnfa,,2,2026-03-28,False
S0865,Mouse42,KO,Thymus,Ifng,22.35,1,2026-04-12,False
S1067,Mouse51,HET,Spleen,Tnfa,22.65,2,2026-04-29,False
S0874,Mouse42,KO,Thymus,Cd8a,21.39,1,2026-12-04,False
S_1704,Mouse82,KO,Thymus,Il2,27.69,3,2026-03-16,False
s0399,Mouse19,KO,Lymph Node,Gapdh,18.93,3,2026-11-03,False
S1653,Mouse79,WT,Thymus,Cd8a,20.7,3,2026-03-23,False
S0046,Mouse3,HET,Thymus,Ifng,,1,2026-03-04,False
S0162,Mouse8,WT,Thymus,Cd8a,21.56,3,2026-08-04,False
S_992,Mouse48,WT,Lymph Node,Ifng,27.53,2,2026-05-04,False
S0728,Mouse35,KO,Lymph Node,Cd8a,20.16,2,2026-03-30,False
S0630,Mouse30,HET,Spleen,Gapdh,17.97,3,2026-03-10,False
S0289,Mouse14,HET,Thymus,Tnfa,22.5,1,2026-03-31,False
S1614,Mouse77,KO,Lymph Node,Tnfa,23.39,3,2026-03-14,False
S1060,Mouse51,HET,Spleen,Cd4,19.67,1,2026-04-29,False
S0576,Mouse28,KO,Spleen,Foxp3,29.7,3,2026-03-28,False
S0851,Mouse41,KO,Spleen,Cd4,19.17,2,2026-03-27,False
s1340,Mouse64,WT,Lymph Node,Tnfa,22.48,2,2026-07-04,False
S0912,Mouse44,KO,Spleen,Foxp3,24.68,3,2026-11-03,False
S1255 ,Mouse60,HET,Thymus,Tnfa,21.9,1,2026-01-03,False
S1726,Mouse83,KO,Thymus,Ifng,21.72,1,2026-03-23,False
S0933,Mouse45,KO,Thymus,Foxp3,29.71,3,2026-03-15,False
S1101,Mouse53,WT,Thymus,Foxp3,26.2,3,2026-03-30,False
S1658,Mouse79,WT,Thymus,Gapdh,17.75,2,2026-03-23,False
S_1208,Mouse58,HET,Thymus,Cd4,20.98,2,2026-04-19,False
S0248,Mouse12,WT,Thymus,Tnfa,22.23,2,2026-04-03,False
S0477,Mouse23,KO,Spleen,Cd8a,21.91,3,2026-04-29,False
S1695,Mouse81,WT,Spleen,Cd8a,21.15,3,2026-03-20,False
S0086,Mouse5,KO,Lymph Node,Il2,27.81,2,2026-09-04,False
S0470 ,Mouse23,KO,Spleen,Foxp3,25.35,2,2026-04-29,False
S0226,Mouse11,KO,Lymph Node,Tnfa,,1,2026-04-17,False
S0775,Mouse37,HET,Spleen,Gapdh,17.98,1,2026-03-03,False
S0332,Mouse16,HET,Spleen,Tnfa,23.12,2,2026-04-05,False
S0234 ,Mouse12,WT,Thymus,Il2,23.93,3,2026-04-03,False
S0589,Mouse29,WT,Spleen,Il2,27.04,1,2026-04-28,False
s0476,Mouse23,KO,Spleen,Cd8a,20.48,2,2026-04-29,False
S1285 ,Mouse62,HET,Lymph Node,Ifng,21.36,1,2026-04-03,False
S1773,Mouse85,KO,Thymus,Foxp3,29.79,3,2026-04-03,False
S0600,Mouse29,WT,Spleen,Cd4,20.44,3,2026-04-28,False
S0422,Mouse21,WT,Thymus,Il2,24.48,2,2026-10-03,False
S1712,Mouse82,KO,Thymus,Cd4,20.06,2,2026-03-16,False
S0183,Mouse9,KO,Spleen,Cd8a,21.63,3,2026-04-18,False
S0989 ,Mouse48,WT,Lymph Node,Il2,25.25,2,2026-05-04,False
S_1001,Mouse48,WT,Lymph Node,Cd8a,20.32,2,2026-05-04,False
S1642 ,Mouse79,WT,Thymus,Ifng,22.36,1,2026-03-23,False
S1357,Mouse65,WT,Spleen,Cd8a,20.62,1,2026-03-14,False
S1463,Mouse70,HET,Lymph Node,Cd8a,21.13,2,2026-03-26,False
S0050,Mouse3,HET,Thymus,Foxp3,26.08,2,2026-03-04,False
s1779,Mouse85,KO,Thymus,Cd8a,20.47,3,2026-04-03,False
S1030,Mouse50,HET,Thymus,Il2,23.78,1,2026-03-15,False
S0530,Mouse26,WT,Lymph Node,Ifng,21.88,2,2026-05-04,False
S1259,Mouse60,HET,Thymus,Gapdh,18.23,2,2026-01-03,False
S0487 ,Mouse24,WT,Thymus,Ifng,21.61,1,2026-04-29,False
S1872,Mouse90,KO,Thymus,Il2,27.32,3,2026-03-05,False
S0498,Mouse24,WT,Thymus,Cd8a,21.45,3,2026-04-29,False
S1647,Mouse79,WT,Thymus,Foxp3,25.82,3,2026-03-23,False
S0107,Mouse6,HET,Thymus,Il2,22.85,2,2026-03-22,False
S_444,Mouse22,WT,Spleen,Il2,24.02,3,2026-03-03,False
S1513 ,Mouse73,WT,Lymph Node,Il2,24.62,1,2026-04-14,False
S0647,Mouse31,HET,Spleen,Tnfa,22.57,2,2026-03-06,False
S_1037,Mouse50,HET,Thymus,Foxp3,26.48,2,2026-03-15,False
S0727,Mouse35,KO,Lymph Node,Cd8a,20.63,1,2026-03-30,False
s0191,Mouse10,WT,Spleen,Il2,24.03,2,2026-10-04,False
S0283,Mouse14,HET,Thymus,Cd4,20.21,1,2026-03-31,False
S_30,Mouse2,WT,Spleen,Foxp3,25.62,3,2026-02-04,False
s0170,Mouse9,KO,Spleen,Il2,24.32,2,2026-04-18,False
S1002,Mouse48,WT,Lymph Node,Cd8a,21.34,3,2026-05-04,False
S1205 ,Mouse58,HET,Thymus,Foxp3,27.01,2,2026-04-19,False
S0101,Mouse5,KO,Lymph Node,Tnfa,22.9,2,2026-04-09,False
S0198,Mouse10,WT,Spleen,Foxp3,25.44,3,2026-10-04,False
S0496,Mouse24,WT,Thymus,Cd8a,20.46,1,2026-04-29,False
S1746,Mouse84,KO,Spleen,Il2,24.45,3,2026-04-02,False
S0648,Mouse31,HET,Spleen,Tnfa,23.06,3,2026-06-03,False
S0988 ,Mouse48,WT,Lymph Node,Il2,24.12,1,2026-05-04,False
S0045,Mouse3,HET,Thymus,Il2,24.46,3,2026-03-04,False
S1833,Mouse88,KO,Thymus,Ifng,,3,2026-01-04,True
S0711,Mouse34,HET,Spleen,Tnfa,24.2,3,2026-08-04,False
S0374,Mouse18,KO,Spleen,Tnfa,23.58,2,2026-04-19,False
S0679,Mouse33,HET,Spleen,Foxp3,26.2,1,2026-03-17,False
S0567,Mouse27,WT,Spleen,Gapdh,18.11,3,2026-04-14,False
S1673,Mouse80,WT,Spleen,Cd8a,,2,2026-03-24,True
S0848,Mouse41,KO,Spleen,Foxp3,30.71,2,2026-03-27,False
S0461 ,Mouse22,WT,Spleen,Gapdh,19.85,2,2026-03-03,False
S1438,Mouse69,WT,Lymph Node,Cd4,20.29,1,2026-02-04,False
S_1156,Mouse56,WT,Thymus,Il2,23.05,1,2026-04-04,False
S0040,Mouse2,WT,Spleen,Gapdh,18.72,1,2026-02-04,False
S0435,Mouse21,WT,Thymus,Cd8a,20.41,3,2026-10-03,False
S0974,Mouse47,KO,Spleen,Foxp3,29.88,2,2026-04-18,False
S1240,Mouse60,HET,Thymus,Il2,24.37,1,2026-01-03,False
S1008,Mouse48,WT,Lymph Node,Gapdh,18.52,3,2026-05-04,False
S1580,Mouse76,KO,Thymus,Ifng,21.38,2,2026-03-17,False
S1591,Mouse76,KO,Thymus,Tnfa,23.19,1,2026-03-17,False
S_1787,Mouse86,WT,Spleen,Il2,23.17,2,2026-03-18,False
S1499,Mouse72,KO,Thymus,Foxp3,25.79,2,2026-03-28,False
S0457,Mouse22,WT,Spleen,Tnfa,23.99,1,2026-03-03,False
S0261,Mouse13,WT,Thymus,Foxp3,26.04,3,2026-03-06,False
S0036,Mouse2,WT,Spleen,Cd8a,21.23,3,2026-02-04,False
S0828,Mouse40,WT,Spleen,Foxp3,25.68,3,2026-03-11,False
S0310 ,Mouse15,WT,Thymus,Tnfa,,1,2026-03-03,True
S0277,Mouse14,HET,Thymus,Ifng,22.17,1,2026-03-31,False
S0637,Mouse31,HET,Spleen,Foxp3,27.54,1,2026-03-06,False
S_655,Mouse32,WT,Lymph Node,Ifng,21.79,1,2026-05-03,False
S0623,Mouse30,HET,Spleen,Cd8a,20.8,2,2026-03-10,False
S0845,Mouse41,KO,Spleen,Ifng,22.17,2,2026-03-27,False
S0394,Mouse19,KO,Lymph Node,Tnfa,22.33,1,2026-11-03,False
S1770,Mouse85,KO,Thymus,Ifng,,3,2026-04-03,True
S0108,Mouse6,HET,Thymus,Il2,23.98,3,2026-03-22,False
S_350,Mouse17,WT,Spleen,Cd8a,20.49,2,2026-03-10,False
S0525,Mouse25,KO,Thymus,Gapdh,18.32,3,2026-03-21,False
